tid,name,num,ts,grade,lng,lat,dist_km
3304099,沙德尔,2618,202608241200,SuperTY,133.4,25,1404.7
3304099,沙德尔,2618,202608241500,SuperTY,132.9,25.2,1351.8
3304099,沙德尔,2618,202608241800,SuperTY,132.3,25.5,1285.7
3304099,沙德尔,2618,202608242100,STY,131.7,25.8,1219.7
3304099,沙德尔,2618,202608250000,STY,131.2,26,1166.7
3304099,沙德尔,2618,202608250300,STY,130.6,26.4,1096.9
3304099,沙德尔,2618,202608250600,STY,130.1,26.7,1040.2
3304099,沙德尔,2618,202608250900,STY,129.7,27,992.9
3304099,沙德尔,2618,202608251200,STY,129.1,27.2,931.1
3304099,沙德尔,2618,202608251500,STY,128.5,27.3,872.8
3304099,沙德尔,2618,202608251800,STY,128.1,27.4,832.8
3304099,沙德尔,2618,202608252100,STY,127.7,27.7,785.7
3304099,沙德尔,2618,202608260000,STY,127.3,27.7,749.2
3304099,沙德尔,2618,202608260300,STY,127.1,28.1,717.6
3304099,沙德尔,2618,202608260500,STY,126.8,28.3,683.8
3304099,沙德尔,2618,202608260600,STY,126.6,28.4,662.4
3304099,沙德尔,2618,202608260700,STY,126.5,28.4,653.1
3304099,沙德尔,2618,202608260800,STY,126.4,28.4,643.8
3304099,沙德尔,2618,202608260900,STY,126.4,28.4,643.8
3304099,沙德尔,2618,202608261000,STY,126.3,28.5,631.7
3304099,沙德尔,2618,202608261100,STY,126.2,28.6,619.8
3304099,沙德尔,2618,202608261200,STY,126,28.6,601.0
3304099,沙德尔,2618,202608261300,STY,126,28.6,601.0
3304099,沙德尔,2618,202608261400,STY,125.8,28.6,582.3
3304099,沙德尔,2618,202608261500,STY,125.6,28.6,563.7
3304099,沙德尔,2618,202608261600,STY,125.5,28.7,551.6
3304099,沙德尔,2618,202608261700,STY,125.3,28.7,533.0
3304099,沙德尔,2618,202608261800,TY,125.2,28.7,523.6
3304099,沙德尔,2618,202608261900,TY,125.1,28.6,517.2
3304099,沙德尔,2618,202608262000,TY,125.1,28.6,517.2
3304099,沙德尔,2618,202608262100,TY,125.1,28.6,517.2
3304099,沙德尔,2618,202608262200,TY,125,28.5,511.2
3304099,沙德尔,2618,202608262300,TY,125,28.5,511.2
3304099,沙德尔,2618,202608270000,TY,124.9,28.5,502.0
3304099,沙德尔,2618,202608270100,TY,124.8,28.6,489.5
3304099,沙德尔,2618,202608270200,TY,124.7,28.6,480.3
3304099,沙德尔,2618,202608270300,TY,124.6,28.6,471.1
3304099,沙德尔,2618,202608270400,STY,124.5,28.6,461.9
3304099,沙德尔,2618,202608270500,STY,124.3,28.6,443.6
3304099,沙德尔,2618,202608270600,STY,124.2,28.5,438.2
3304099,沙德尔,2618,202608270700,STY,124.1,28.5,429.2
3304099,沙德尔,2618,202608270800,STY,124,28.5,420.2
3304099,沙德尔,2618,202608270900,STY,123.9,28.5,411.3
3304099,沙德尔,2618,202608271000,STY,123.8,28.3,411.3
3304099,沙德尔,2618,202608271100,STY,123.6,28.3,393.9
3304099,沙德尔,2618,202608271200,STY,123.5,28.3,385.3
3304099,沙德尔,2618,202608271300,STY,123.5,28.1,395.8
3304099,沙德尔,2618,202608271400,STY,123.3,28,385.1
3304099,沙德尔,2618,202608271500,STY,123.2,28,377.0
3304099,沙德尔,2618,202608271600,STY,123.1,28,369.0
3304099,沙德尔,2618,202608271700,STY,122.9,28,353.3
3304099,沙德尔,2618,202608271800,STY,122.8,28.1,339.0
3304099,沙德尔,2618,202608271900,STY,122.6,28.1,323.5
3304099,沙德尔,2618,202608272000,STY,122.3,28.1,301.1
3304099,沙德尔,2618,202608272100,STY,122,28.1,279.8
3304099,沙德尔,2618,202608272200,STY,121.8,28.2,258.4
3304099,沙德尔,2618,202608272300,STY,121.5,28.2,239.2
3304099,沙德尔,2618,202608280000,TY,121.3,28.1,236.6
3304099,沙德尔,2618,202608280100,TY,121,28,231.7
3304099,沙德尔,2618,202608280200,STS,120.7,27.8,241.4
3304099,沙德尔,2618,202608280300,STS,120.5,27.7,247.0
3304099,沙德尔,2618,202608280400,STS,120.3,27.6,254.5
